Away_G,Home_G,OT,Attendance,LengthOfGame,Notes,Goal_Diff,Datetime,Edmonton Oilers,Florida Panthers,Minnesota Wild,St. Louis Blues,New York Islanders,Columbus Blue Jackets,Arizona Coyotes,Philadelphia Flyers,Buffalo Sabres,Ottawa Senators,Dallas Stars,Chicago Blackhawks,Toronto Maple Leafs,Seattle Kraken,Carolina Hurricanes,San Jose Sharks,Detroit Red Wings,Calgary Flames,Utah Mammoth,Pittsburgh Penguins,Washington Capitals,Nashville Predators,Winnipeg Jets,Vancouver Canucks,Montreal Canadiens,Los Angeles Kings,New Jersey Devils,New York Rangers,Boston Bruins,Colorado Avalanche,Vegas Golden Knights,Anaheim Ducks,Tampa Bay Lightning,home_win
2,4,0,14837,2:31,,2,2025-10-16T19:30:00.000000,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,1,15736,2:38,,1,2025-10-16T19:00:00.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2,0,16170,2:17,,-3,2025-10-16T19:00:00.000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,18267,2:28,,1,2025-10-16T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
5,6,0,17927,2:48,,1,2025-10-16T22:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1
3,2,1,18306,2:54,,-1,2025-10-17T20:30:00.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1,2,1,19515,2:36,,1,2025-10-17T19:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
3,6,0,12478,2:23,,3,2025-10-17T21:00:00.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,0,17482,2:32,,4,2025-10-17T19:00:00.000000,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,16015,2:36,,3,2025-10-18T13:00:00.000000,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
